,cluster,type,count
0,0,0,34
1,0,1,34
2,0,2,34
3,0,3,33
4,0,4,34
5,0,5,34
6,0,6,34
7,0,7,34
8,0,8,34
9,0,9,34
10,1,0,14
11,1,1,14
12,1,2,14
13,1,4,14
14,1,5,14
15,1,6,6
16,1,7,14
17,1,8,14
18,1,9,14
19,2,0,25
20,2,1,25
21,2,2,25
22,2,3,13
23,2,4,25
24,2,5,25
25,2,6,25
26,2,7,25
27,2,8,25
28,2,9,25
29,3,0,28
30,3,1,28
31,3,2,28
32,3,3,27
33,3,4,28
34,3,5,28
35,3,6,28
36,3,7,28
37,3,8,28
38,3,9,28
39,4,0,18
40,4,1,18
41,4,2,18
42,4,3,8
43,4,4,18
44,4,5,18
45,4,6,18
46,4,7,18
47,4,8,18
48,4,9,18
49,5,0,36
50,5,1,36
51,5,2,36
52,5,3,33
53,5,4,36
54,5,5,36
55,5,6,36
56,5,7,36
57,5,8,36
58,5,9,36
59,6,0,36
60,6,1,36
61,6,2,36
62,6,3,36
63,6,4,36
64,6,5,36
65,6,6,36
66,6,7,36
67,6,8,36
68,6,9,36
69,7,0,35
70,7,1,35
71,7,2,35
72,7,3,26
73,7,4,35
74,7,5,35
75,7,6,35
76,7,7,35
77,7,8,35
78,7,9,35
79,8,0,34
80,8,1,34
81,8,2,34
82,8,3,28
83,8,4,34
84,8,5,34
85,8,6,34
86,8,7,34
87,8,8,34
88,8,9,34
89,9,0,15
90,9,1,15
91,9,2,15
92,9,3,15
93,9,4,15
94,9,5,15
95,9,6,15
96,9,7,15
97,9,8,15
98,9,9,15
